0 	11891324
6.4128257 	11720996
34.468938 	10958280
37.675351 	10870316
40.881764 	10782204
50.501002 	10517003
53.707415 	10428318
62.52505 	10183710
65.731463 	10094498
68.937876 	10005147
69.739479 	9982787.3
96.993988 	9217309
103.40681 	9035708.2
106.61323 	8944694.9
116.23246 	8670803
123.44689 	8464547.2
125.05 	8418618.2
125.8517 	8395636.2
128.25651 	8326645.8
131.46293 	8234535.3
151.50301 	7655660.9
153.90782 	7585828.7
156.31263 	7515918.2
159.51904 	7422582.5
166.73347 	7212069.9
169.13828 	7141743.4
175.5511 	6953827
176.35271 	6930298.9
187.57515 	6600007.7
190.78156 	6505332.9
200.4008 	6220500.7
201.2024 	6196710.3
202.00401 	6172911.7
202.80561 	6149104.7
203.60721 	6125289.4
204.40882 	6101465.9
205.21042 	6077634
206.01202 	6053793.9
206.81363 	6029945.6
207.61523 	6006089
208.41683 	5982224.2
209.21844 	5958351.2
210.02004 	5934470
210.82164 	5910580.7
211.62325 	5886683.1
212.42485 	5862777.4
213.22645 	5838863.5
214.02806 	5814941.5
214.82966 	5791011.4
215.63126 	5767073.2
216.43287 	5743126.9
217.23447 	5719172.5
218.03607 	5695210.1
219.63928 	5647261.1
220.44088 	5623274.5
221.24248 	5599280
222.04409 	5575277.4
222.84569 	5551266.9
223.64729 	5527248.4
224.4489 	5503222
225.2505 	5479187.7
226.0521 	5455145.5
227.65531 	5407037.4
228.45691 	5382971.6
229.25852 	5358897.9
230.86172 	5310727.1
231.66333 	5286630
232.46493 	5262525.2
234.06814 	5214292.3
234.86974 	5190164.2
235.67134 	5166028.5
236.47295 	5141885.2
237.27455 	5117734.1
238.07615 	5093575.5
238.87776 	5069409.2
239.67936 	5045235.4
240.48096 	5021053.9
241.28257 	4996865
242.08417 	4972668.5
242.88577 	4948464.5
243.68737 	4924253
244.48898 	4900034.1
245.29058 	4875807.7
246.09218 	4851574
246.89379 	4827332.8
247.69539 	4803084.3
248.49699 	4778828.4
249.2986 	4754565.1
250.1002 	4730294.6
250.9018 	4706016.9
251.70341 	4681731.8
252.50501 	4657439.6
253.30661 	4633140.1
254.10822 	4608833.5
254.90982 	4584519.7
255.71142 	4560198.8
256.51303 	4535870.8
257.31463 	4511535.7
258.11623 	4487193.6
258.91784 	4462844.4
259.71944 	4438488.3
260.52104 	4414125.2
261.32265 	4389755.1
262.12425 	4365378.1
262.92585 	4340994.2
263.72745 	4316603.5
264.52906 	4292206
265.33066 	4267801.6
266.13226 	4243390.4
266.93387 	4218972.5
267.73547 	4194547.9
268.53707 	4170116.6
269.33868 	4145678.7
270.14028 	4121234.1
270.94188 	4096783
271.74349 	4072325.2
272.54509 	4047860.9
273.34669 	4023390.1
274.1483 	3998912.8
274.9499 	3974429.1
274.95 	3974426
275.7515 	3949938.9
276.55311 	3925442.3
277.35471 	3900939.3
278.95792 	3851914.6
279.75952 	3827392.8
280.56112 	3802864.8
281.36273 	3778330.6
282.16433 	3753790.2
282.96593 	3729243.7
283.76754 	3704691.2
284.56914 	3680132.5
285.37074 	3655567.8
286.17234 	3630997.1
286.97395 	3606420.5
288.57715 	3557249.3
289.37876 	3532654.9
290.18036 	3508054.7
290.98196 	3483448.7
291.78357 	3458836.9
292.58517 	3434219.5
293.38677 	3409596.3
294.18838 	3384967.5
294.98998 	3360333.1
295.79158 	3335693.1
296.59319 	3311047.5
297.39479 	3286396.4
298.19639 	3261739.8
298.998 	3237077.7
299.7996 	3212410.3
300.6012 	3187737.5
301.40281 	3163059.3
302.20441 	3138375.8
303.00601 	3113687.1
303.80762 	3088993.3
304.60922 	3064294.2
306.21242 	3014880.7
307.01403 	2990166.4
307.81563 	2965447
308.61723 	2940722.6
309.41884 	2915993.2
310.22044 	2891258.9
311.02204 	2866519.8
311.82365 	2841775.8
312.62525 	2817027
313.42685 	2792273.4
314.22846 	2767515.1
315.03006 	2742752.1
315.83166 	2717984.5
316.63327 	2693212.3
317.43487 	2668435.5
318.23647 	2643654.2
319.03808 	2618868.4
319.83968 	2594078.1
320.64128 	2569283.5
321.44289 	2544484.5
322.24449 	2519681.2
323.04609 	2494873.6
323.8477 	2470061.7
324.6493 	2445245.7
325.4509 	2420425.5
326.25251 	2395601.3
327.05411 	2370772.9
327.85571 	2345940.6
328.65731 	2321104.2
329.45892 	2296263.9
330.26052 	2271419.7
331.06212 	2246571.6
331.86373 	2221719.6
332.66533 	2196863.9
333.46693 	2172004.5
334.26854 	2147141.4
335.07014 	2122274.6
335.87174 	2097404.2
336.67335 	2072530.2
337.47495 	2047652.7
338.27655 	2022771.7
339.07816 	1997887.3
339.87976 	1972999.5
340.68136 	1948108.3
341.48297 	1923213.8
342.28457 	1898315.9
343.08617 	1873414.8
343.88778 	1848510.6
344.68938 	1823603.3
345.49098 	1798692.9
346.29259 	1773779.5
347.09419 	1748863
